Company;Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
T Mobile;13/2/18;57.68;58.275;57.22;57.69;5253767.0;0.0;1.0;57.68;58.275;57.22;57.69;5253767.0
T Mobile;12/2/18;59.66;60.06;58.07;58.12;4814674.0;0.0;1.0;59.66;60.06;58.07;58.12;4814674.0
T Mobile;9/2/18;60.1;60.45;57.65;59.17;4627264.0;0.0;1.0;60.1;60.45;57.65;59.17;4627264.0
T Mobile;8/2/18;61.0;62.5;58.9;58.9;7576785.0;0.0;1.0;61.0;62.5;58.9;58.9;7576785.0
T Mobile;7/2/18;60.96;62.91;60.96;62.13;7283775.0;0.0;1.0;60.96;62.91;60.96;62.13;7283775.0
T Mobile;6/2/18;60.03;61.98;60.0;60.85;5614479.0;0.0;1.0;60.03;61.98;60.0;60.85;5614479.0
T Mobile;5/2/18;63.46;63.81;61.61;61.7;3147677.0;0.0;1.0;63.46;63.81;61.61;61.7;3147677.0
T Mobile;2/2/18;63.84;64.32;63.32;63.6;2600802.0;0.0;1.0;63.84;64.32;63.32;63.6;2600802.0
T Mobile;1/2/18;64.7;65.11;63.55;63.79;4206410.0;0.0;1.0;64.7;65.11;63.55;63.79;4206410.0
T Mobile;31/1/18;64.54;65.32;64.27;65.1;2115985.0;0.0;1.0;64.54;65.32;64.27;65.1;2115985.0
T Mobile;30/1/18;64.8;64.97;64.39;64.76;1893309.0;0.0;1.0;64.8;64.97;64.39;64.76;1893309.0
T Mobile;29/1/18;64.75;64.97;64.35;64.6;2504705.0;0.0;1.0;64.75;64.97;64.35;64.6;2504705.0
T Mobile;26/1/18;64.6;65.4;64.4;65.28;2003866.0;0.0;1.0;64.6;65.4;64.4;65.28;2003866.0
T Mobile;25/1/18;65.4;65.45;64.33;64.39;2523092.0;0.0;1.0;65.4;65.45;64.33;64.39;2523092.0
T Mobile;24/1/18;64.59;65.34;64.55;65.0;2748361.0;0.0;1.0;64.59;65.34;64.55;65.0;2748361.0
T Mobile;23/1/18;64.02;64.8;63.66;64.53;2184409.0;0.0;1.0;64.02;64.8;63.66;64.53;2184409.0
T Mobile;22/1/18;63.75;63.99;63.48;63.94;2344109.0;0.0;1.0;63.75;63.99;63.48;63.94;2344109.0
T Mobile;19/1/18;62.75;63.83;62.75;63.71;4685529.0;0.0;1.0;62.75;63.83;62.75;63.71;4685529.0
T Mobile;18/1/18;63.84;64.079;62.44;62.88;4011399.0;0.0;1.0;63.84;64.079;62.44;62.88;4011399.0
T Mobile;17/1/18;63.4;64.45;62.93;63.76;2858750.0;0.0;1.0;63.4;64.45;62.93;63.76;2858750.0
T Mobile;16/1/18;64.14;64.14;62.555;62.97;4642898.0;0.0;1.0;64.14;64.14;62.555;62.97;4642898.0
T Mobile;12/1/18;64.16;64.26;63.51;63.68;3045557.0;0.0;1.0;64.16;64.26;63.51;63.68;3045557.0
T Mobile;11/1/18;63.94;64.19;63.23;63.84;3065517.0;0.0;1.0;63.94;64.19;63.23;63.84;3065517.0
T Mobile;10/1/18;65.18;65.19;63.61;63.89;3507639.0;0.0;1.0;65.18;65.19;63.61;63.89;3507639.0
T Mobile;9/1/18;66.0;66.52;65.52;65.6;5276121.0;0.0;1.0;66.0;66.52;65.52;65.6;5276121.0
T Mobile;8/1/18;64.46;65.98;64.31;65.1;3603010.0;0.0;1.0;64.46;65.98;64.31;65.1;3603010.0
T Mobile;5/1/18;63.54;64.81;63.12;64.6;3289224.0;0.0;1.0;63.54;64.81;63.12;64.6;3289224.0
T Mobile;4/1/18;63.89;64.0;62.88;63.0;2247636.0;0.0;1.0;63.89;64.0;62.88;63.0;2247636.0
T Mobile;3/1/18;63.89;64.13;63.25;63.61;2603398.0;0.0;1.0;63.89;64.13;63.25;63.61;2603398.0
T Mobile;2/1/18;63.9;64.52;63.54;64.04;2174091.0;0.0;1.0;63.9;64.52;63.54;64.04;2174091.0
T Mobile;29/12/17;64.1;64.43;63.46;63.51;1823611.0;0.0;1.0;64.1;64.43;63.46;63.51;1823611.0
T Mobile;28/12/17;64.24;64.64;64.06;64.35;1596099.0;0.0;1.0;64.24;64.64;64.06;64.35;1596099.0
T Mobile;27/12/17;64.01;64.2;63.71;64.11;1508070.0;0.0;1.0;64.01;64.2;63.71;64.11;1508070.0
T Mobile;26/12/17;62.95;64.12;62.93;63.79;1515401.0;0.0;1.0;62.95;64.12;62.93;63.79;1515401.0
T Mobile;22/12/17;63.49;63.84;63.23;63.62;1771333.0;0.0;1.0;63.49;63.84;63.23;63.62;1771333.0
T Mobile;21/12/17;63.35;63.67;63.11;63.52;2946668.0;0.0;1.0;63.35;63.67;63.11;63.52;2946668.0
T Mobile;20/12/17;63.92;64.0;62.8;62.9;5524048.0;0.0;1.0;63.92;64.0;62.8;62.9;5524048.0
T Mobile;19/12/17;63.52;64.64;63.49;63.64;5395375.0;0.0;1.0;63.52;64.64;63.49;63.64;5395375.0
T Mobile;18/12/17;62.67;63.63;62.58;63.47;3287205.0;0.0;1.0;62.67;63.63;62.58;63.47;3287205.0
T Mobile;15/12/17;62.47;63.48;62.15;62.66;6479956.0;0.0;1.0;62.47;63.48;62.15;62.66;6479956.0
T Mobile;14/12/17;64.05;64.05;62.38;62.56;6867327.0;0.0;1.0;64.05;64.05;62.38;62.56;6867327.0
T Mobile;13/12/17;63.74;64.47;63.65;63.83;4527653.0;0.0;1.0;63.74;64.47;63.65;63.83;4527653.0
T Mobile;12/12/17;63.05;63.94;63.05;63.48;3602604.0;0.0;1.0;63.05;63.94;63.05;63.48;3602604.0
T Mobile;11/12/17;62.56;63.47;62.56;63.07;3237657.0;0.0;1.0;62.56;63.47;62.56;63.07;3237657.0
T Mobile;8/12/17;62.47;62.98;62.34;62.54;3694255.0;0.0;1.0;62.47;62.98;62.34;62.54;3694255.0
T Mobile;7/12/17;61.58;62.92;613.956;61.92;4452452.0;0.0;1.0;61.58;62.92;613.956;61.92;4452452.0
T Mobile;6/12/17;60.53;62.25;59.96;62.12;5126825.0;0.0;1.0;60.53;62.25;59.96;62.12;5126825.0
T Mobile;5/12/17;60.5;61.34;60.3;60.96;3623681.0;0.0;1.0;60.5;61.34;60.3;60.96;3623681.0
T Mobile;4/12/17;61.2;61.78;60.2;60.24;3892787.0;0.0;1.0;61.2;61.78;60.2;60.24;3892787.0
T Mobile;1/12/17;60.35;61.255;60.15;60.9;4920470.0;0.0;1.0;60.35;61.255;60.15;60.9;4920470.0
T Mobile;30/11/17;61.89;62.4;60.75;61.07;7071650.0;0.0;1.0;61.89;62.4;60.75;61.07;7071650.0
T Mobile;29/11/17;61.56;62.66;61.42;61.83;3654350.0;0.0;1.0;61.56;62.66;61.42;61.83;3654350.0
T Mobile;28/11/17;62.34;624.125;61.0;61.38;5456124.0;0.0;1.0;62.34;624.125;61.0;61.38;5456124.0
T Mobile;27/11/17;62.2;62.93;61.29;62.78;5099149.0;0.0;1.0;62.2;62.93;61.29;62.78;5099149.0
T Mobile;24/11/17;60.81;62.09;60.75;61.68;2129277.0;0.0;1.0;60.81;62.09;60.75;61.68;2129277.0
T Mobile;22/11/17;60.41;614.297;60.41;61.35;6581035.0;0.0;1.0;60.41;614.297;60.41;61.35;6581035.0
T Mobile;21/11/17;61.1;61.25;60.23;60.41;5157880.0;0.0;1.0;61.1;61.25;60.23;60.41;5157880.0
T Mobile;20/11/17;59.745;60.45;59.58;60.3;4200849.0;0.0;1.0;59.745;60.45;59.58;60.3;4200849.0
T Mobile;17/11/17;59.55;60.07;58.96;60.02;6789590.0;0.0;1.0;59.55;60.07;58.96;60.02;6789590.0
T Mobile;16/11/17;56.81;59.975;56.81;59.8;10197981.0;0.0;1.0;56.81;59.975;56.81;59.8;10197981.0
T Mobile;15/11/17;56.8;56.99;56.18;56.69;3486954.0;0.0;1.0;56.8;56.99;56.18;56.69;3486954.0
T Mobile;14/11/17;56.39;56.96;55.96;56.54;5034511.0;0.0;1.0;56.39;56.96;55.96;56.54;5034511.0
T Mobile;13/11/17;56.8;56.89;55.91;56.44;3248949.0;0.0;1.0;56.8;56.89;55.91;56.44;3248949.0
T Mobile;10/11/17;55.69;57.04;55.54;56.8;5425384.0;0.0;1.0;55.69;57.04;55.54;56.8;5425384.0
T Mobile;9/11/17;56.5;56.569;55.63;56.0;4905470.0;0.0;1.0;56.5;56.569;55.63;56.0;4905470.0
T Mobile;7/11/17;55.78;56.03;54.6;55.36;8539916.0;0.0;1.0;55.78;56.03;54.6;55.36;8539916.0
T Mobile;6/11/17;56.2;56.5;54.93;55.54;16904727.0;0.0;1.0;56.2;56.5;54.93;55.54;16904727.0
T Mobile;3/11/17;59.01;59.44;58.575;58.91;3927089.0;0.0;1.0;59.01;59.44;58.575;58.91;3927089.0
T Mobile;2/11/17;59.76;60.11;58.13;58.3;5771088.0;0.0;1.0;59.76;60.11;58.13;58.3;5771088.0
T Mobile;1/11/17;60.14;60.4;59.36;59.75;3176312.0;0.0;1.0;60.14;60.4;59.36;59.75;3176312.0
T Mobile;31/10/17;59.64;60.25;59.32;59.77;7255753.0;0.0;1.0;59.64;60.25;59.32;59.77;7255753.0
T Mobile;30/10/17;62.67;63.075;59.21;59.58;14183594.0;0.0;1.0;62.67;63.075;59.21;59.58;14183594.0
T Mobile;27/10/17;61.47;63.0;61.47;62.95;3031792.0;0.0;1.0;61.47;63.0;61.47;62.95;3031792.0
T Mobile;26/10/17;62.18;62.32;61.51;61.73;2828406.0;0.0;1.0;62.18;62.32;61.51;61.73;2828406.0
T Mobile;25/10/17;61.95;62.26;61.37;61.93;4030212.0;0.0;1.0;61.95;62.26;61.37;61.93;4030212.0
T Mobile;24/10/17;61.74;62.4;61.54;62.28;3517525.0;0.0;1.0;61.74;62.4;61.54;62.28;3517525.0
T Mobile;23/10/17;61.1;62.0;60.3;61.47;6733382.0;0.0;1.0;61.1;62.0;60.3;61.47;6733382.0
T Mobile;20/10/17;61.97;61.98;60.28;60.46;3794216.0;0.0;1.0;61.97;61.98;60.28;60.46;3794216.0
T Mobile;19/10/17;60.44;61.97;60.31;61.51;4417631.0;0.0;1.0;60.44;61.97;60.31;61.51;4417631.0
T Mobile;18/10/17;60.87;60.91;60.25;60.68;3114213.0;0.0;1.0;60.87;60.91;60.25;60.68;3114213.0
T Mobile;17/10/17;60.93;61.04;60.56;60.94;1316564.0;0.0;1.0;60.93;61.04;60.56;60.94;1316564.0
T Mobile;16/10/17;61.52;61.65;60.9;60.97;1489268.0;0.0;1.0;61.52;61.65;60.9;60.97;1489268.0
T Mobile;13/10/17;61.29;61.55;60.74;61.39;2388754.0;0.0;1.0;61.29;61.55;60.74;61.39;2388754.0
T Mobile;12/10/17;61.07;61.665;60.71;61.28;2501246.0;0.0;1.0;61.07;61.665;60.71;61.28;2501246.0
T Mobile;11/10/17;61.15;61.74;59.42;61.18;4402801.0;0.0;1.0;61.15;61.74;59.42;61.18;4402801.0
T Mobile;10/10/17;61.69;61.78;61.11;61.23;3246630.0;0.0;1.0;61.69;61.78;61.11;61.23;3246630.0
T Mobile;9/10/17;62.31;62.61;61.18;61.56;3145566.0;0.0;1.0;62.31;62.61;61.18;61.56;3145566.0
